Support Cluster,Support Item,Support Item Ref No,Support Item Description,Unit of Measure,Quote Required,List Price,Support Categories,Support Category Number
Assist Prod-Pers Care/Safety,bathing care and grooming aids,60 09 33 00,,Each,N,$50.00 ,Assistive technology,5
Assist Prod-Pers Care/Safety,one or more small devices to assist with food and drink preparations,60 15 03 00,Includes adapted cooking utensils and basic appliances.,Each,N,$50.00 ,Assistive technology,5
Assist Prod-Pers Care/Safety,one or more assistive products for eating and drinking,60 15 09 01,"Adapted cups, spoons, cutlery and other assistive products for eating and drinking.",Each,N,$100.00 ,Assistive technology,5
Assistive Prod-Household Task,one or more assistive devices to assist with dishwashing,60 15 09 02,"Adapted dish cloths, utensils, detergent dispensers etc.",Each,N,$50.00 ,Assistive technology,5
Assistive Prod-Household Task,other assistive equipment for household tasks,60 15 12 00,Equipment specially selected due to the persons disability that enables them to perform household tasks like cleaning or maintenance,Each,Y,$50.00 ,Assistive technology,5
Assist Prod-Pers Care/Safety,over bed table,60 18 03 15,,Each,Y,$70.00 ,Assistive technology,5
Assistive Prod-Household Task,ECU rental,60 24 13 03,,Each,Y,$50.00 ,Assistive technology,5
Assist Prod-Pers Care/Safety,"toilet and bathroom equipment delivery, set up/ training",70 09 12 03,"Equipment delivery, removal from wrapping, fitting/adjusting for participant’s disability specific needs and or training.",Hour,Y,$100.00 ,Assistive technology,5
Personal Mobility Equipment,"walking equipment delivery, set up/ training",70 12 06 03,"Equipment delivery, removal from wrapping, fitting/adjusting for participant’s disability specific needs and or training.",Each,Y,$50.00 ,Assistive technology,5
Personal Mobility Equipment,"transfer equipment delivery, set up/ training",70 12 36 03,"equipment delivery, removal from wrapping ready, fitting/adjusting for participant and or training.",Each,Y,$100.00 ,Assistive technology,5
Assist Prod-Pers Care/Safety,seating/standing frame equipment delivery to a participant,70 18 09 39,"Equipment delivery, removal from wrapping, fitting/adjusting for participant’s disability specific needs and or training.",Each,Y,$50.00 ,Assistive technology,5
Assist Prod-Pers Care/Safety,"bed/ mattress equipment delivery, set up/ training",70 18 12 10,"Equipment delivery, removal from wrapping, fitting/adjusting for the participant’s disability specific needs and/or training in usage.",Each,Y,$100.00 ,Assistive technology,5
Vision Equipment,"vision equipment delivery, set up/ training",70 22 18 00,"Equipment delivery, removal from wrapping, fitting/adjusting for participant and or training.",Each,N,$100.00 ,Assistive technology,5
Assistive Prod-Household Task,"ECU equipment delivery, set up/ training",70 24 13 03,"Equipment delivery, removal from wrapping, fitting/adjusting for participant disability specific needs and/ or training.",Each,Y,$300.00 ,Assistive technology,5
Assistive Equip-Recreation,"recreation equipment delivery, set up/ training",70 30 00 00,"Equipment delivery, removal from wrapping, set up adjustment and training for the participant's disability specific needs.",Each,Y,$100.00 ,Assistive technology,5
Personal Mobility Equipment,"mobility equipment delivery, set up/ training",70 50 12 00,"equipment delivery, removal from wrapping ready, fitting/adjusting for participant and or training.",Each,Y,$100.00 ,Assistive technology,5
Assist Prod-Pers Care/Safety,toilet and bathroom equipment delivery,71 09 12 03,equipment delivery and removal from wrapping ready for use,Each,Y,$50.00 ,Assistive technology,5
Assist Prod-Pers Care/Safety,continence aids delivery - non metropolitan,71 09 30 01,Delivery of continence items in regional and remote areas - expected maximum up to 4 deliveries per year.  Price guidance is per delivery.,Each,N,$30.00 ,"Assistance with daily life at home in the community, education and at work",1
Assist Prod-Pers Care/Safety,continence aids delivery - metropolitan,71 09 30 02,Delivery of continence items in regional Metropolitan areas - expected maximum up to 4 deliveries per year. Price guidance is per Delivery.,Each,N,$22.50 ,"Assistance with daily life at home in the community, education and at work",1
Personal Mobility Equipment,walking equipment delivery to a participant,71 12 06 03,equipment delivery and removal from wrapping ready for use,Each,Y,$25.00 ,Assistive technology,5
Vehicle modifications,vehicle related equipment delivery to a participant,71 12 12 21,,Each,N,$50.00 ,Vehicle modifications,6
Personal Mobility Equipment,transfer equipment delivery to a participant,71 12 36 03,equipment delivery and removal from wrapping ready for use,Each,Y,$50.00 ,Assistive technology,5
Assist Prod-Pers Care/Safety,HEN equipment delivery,71 15 09 30,,Each,Y,$50.00 ,"Assistance with daily life at home in the community, education and at work",1
Assist Prod-Pers Care/Safety,"seating/standing frame equipment delivery, set up/ training",71 18 09 39,"equipment delivery, removal from wrapping ready, fitting/adjusting for participant and or training.",Each,Y,$100.00 ,Assistive technology,5
Assist Prod-Pers Care/Safety,bed/ mattress equipment delivery to a participant,71 18 12 10,equipment delivery and removal from wrapping ready for use,Each,Y,$50.00 ,Assistive technology,5
Vision Equipment,vision equipment delivery to a participant,71 22 18 00,equipment delivery and removal from wrapping ready for use,Each,N,$25.00 ,Assistive technology,5
Assistive Prod-Household Task,ECU equipment delivery to a participant,71 24 13 03,equipment delivery and removal from wrapping ready for use,Each,Y,$50.00 ,Assistive technology,5
Assistive Equip-Recreation,recreation equipment delivery to a participant,71 30 00 00,equipment delivery and removal from wrapping ready for use,Each,Y,$50.00 ,Assistive technology,5
Personal Mobility Equipment,mobility equipment delivery,71 50 12 00,equipment delivery and removal from wrapping ready for use,Each,Y,$50.00 ,Assistive technology,5
Assist Prod-Pers Care/Safety,toilet and bathroom equipment rental,80 09 12 01,short term rental or hire of bathroom or toilet equipment,Each,Y,$100.00 ,Assistive technology,5
Personal Mobility Equipment,walking equipment rental,80 12 06 03,,Each,Y,$15.00 ,Assistive technology,5
Personal Mobility Equipment,transfer equipment rental,80 12 36 03,Equipment rental -  per week,Each,Y,$1.00 ,Assistive technology,5
Assist Prod-Pers Care/Safety,bed and mattress rental,80 18 12 10,weekly rate,Each,Y,$50.00 ,Assistive technology,5
Vision Equipment,vision equipment rental,80 22 18 00,per week rate,Each,Y,$1.00 ,Assistive technology,5
Assistive Equip-Recreation,recreation equipment rental,80 30 00 00,,Each,Y,$1.00 ,Assistive technology,5
Personal Mobility Equipment,mobility equipment rental,80 50 12 00,"short term rental of personal mobility equipment, quote not required but marked this way to allow price adjustment.",Each,Y,$50.00 ,Assistive technology,5
